th_rag,n,acc,prec,rec,f1,tp,fp,fn,tn
-1.0,25,0.64,0.625,1.0,0.769,15,9,0,1
-0.75,25,0.64,0.625,1.0,0.769,15,9,0,1
-0.5,25,0.64,0.625,1.0,0.769,15,9,0,1
-0.25,25,0.64,0.625,1.0,0.769,15,9,0,1
0.0,25,0.64,0.625,1.0,0.769,15,9,0,1
0.25,25,0.64,0.625,1.0,0.769,15,9,0,1
0.5,25,0.64,0.625,1.0,0.769,15,9,0,1
0.75,25,0.64,0.625,1.0,0.769,15,9,0,1
1.0,25,0.64,0.625,1.0,0.769,15,9,0,1
1.25,25,0.88,0.875,0.933,0.903,14,2,1,8
1.5,25,0.88,0.875,0.933,0.903,14,2,1,8
1.75,25,0.88,0.875,0.933,0.903,14,2,1,8
2.0,25,0.88,0.875,0.933,0.903,14,2,1,8
2.25,25,0.88,0.875,0.933,0.903,14,2,1,8
2.5,25,0.88,0.875,0.933,0.903,14,2,1,8
2.75,25,0.88,0.875,0.933,0.903,14,2,1,8
3.0,25,0.88,0.875,0.933,0.903,14,2,1,8
3.25,25,0.88,0.875,0.933,0.903,14,2,1,8
3.5,25,0.88,0.875,0.933,0.903,14,2,1,8
3.75,25,0.88,0.875,0.933,0.903,14,2,1,8
4.0,25,0.88,0.875,0.933,0.903,14,2,1,8
4.25,25,0.88,0.875,0.933,0.903,14,2,1,8
4.5,25,0.88,0.875,0.933,0.903,14,2,1,8
4.75,25,0.88,0.875,0.933,0.903,14,2,1,8
5.0,25,0.88,0.875,0.933,0.903,14,2,1,8
5.25,25,0.84,0.867,0.867,0.867,13,2,2,8
5.5,25,0.84,0.867,0.867,0.867,13,2,2,8
5.75,25,0.84,0.867,0.867,0.867,13,2,2,8
6.0,25,0.84,0.867,0.867,0.867,13,2,2,8
6.25,25,0.8,0.857,0.8,0.828,12,2,3,8
6.5,25,0.8,0.857,0.8,0.828,12,2,3,8
6.75,25,0.8,0.857,0.8,0.828,12,2,3,8
7.0,25,0.8,0.857,0.8,0.828,12,2,3,8
7.25,25,0.36,0.333,0.067,0.111,1,2,14,8
7.5,25,0.36,0.333,0.067,0.111,1,2,14,8
7.75,25,0.36,0.333,0.067,0.111,1,2,14,8
8.0,25,0.36,0.333,0.067,0.111,1,2,14,8
8.25,25,0.4,0.0,0.0,0.0,0,0,15,10
8.5,25,0.4,0.0,0.0,0.0,0,0,15,10
8.75,25,0.4,0.0,0.0,0.0,0,0,15,10
9.0,25,0.4,0.0,0.0,0.0,0,0,15,10
9.25,25,0.4,0.0,0.0,0.0,0,0,15,10
9.5,25,0.4,0.0,0.0,0.0,0,0,15,10
9.75,25,0.4,0.0,0.0,0.0,0,0,15,10
10.0,25,0.4,0.0,0.0,0.0,0,0,15,10
